PT_ID;TILE;SECTION;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
40993527;40;LKO_CAN;0.979;1;0.0;0.979;1.0;0.0
40994288;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40994289;40;LKO_CAN;19.91;14;8.597;0.8295833333333333;0.5833333333333334;0.3582083333333333
40994290;40;LKO_CAN;0.317;0;0.317;0.317;0.0;0.317
40994497;40;LKO_CAN;0.281;0;0.281;0.281;0.0;0.281
40994498;40;LKO_CAN;0.269;0;0.269;0.269;0.0;0.269
40994499;40;LKO_CAN;0.327;0;0.327;0.327;0.0;0.327
40994500;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40994501;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40994502;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40994503;40;LKO_CAN;0.21;0;0.21;0.21;0.0;0.21
40994504;40;LKO_CAN;0.21;0;0.21;0.21;0.0;0.21
40994505;40;LKO_CAN;0.21;0;0.21;0.21;0.0;0.21
40994506;40;LKO_CAN;0.217;0;0.217;0.217;0.0;0.217
40994507;40;LKO_CAN;1.981;1;1.6480000000000001;0.22011111111111112;0.1111111111111111;0.1831111111111111
40994508;40;LKO_CAN;6.258;4;5.283;0.36811764705882355;0.23529411764705882;0.31076470588235294
40994509;40;LKO_CAN;19.958;11;11.793;0.7391851851851852;0.4074074074074074;0.43677777777777776
40994510;40;LKO_CAN;19.35;10;10.417;0.841304347826087;0.43478260869565216;0.45291304347826083
40994511;40;LKO_CAN;17.6;14;5.975;0.8380952380952381;0.6666666666666666;0.2845238095238095
40994512;40;LKO_CAN;19.466;15;6.7860000000000005;0.8110833333333334;0.625;0.28275
40994513;40;LKO_CAN;20.739;16;7.382;0.7681111111111112;0.5925925925925926;0.2734074074074074
40994514;40;LKO_CAN;20.029;17;6.2989999999999995;0.7703461538461538;0.6538461538461539;0.24226923076923074
40994515;40;LKO_CAN;20.836;11;11.419;0.8013846153846154;0.4230769230769231;0.4391923076923077
40994516;40;LKO_CAN;19.137999999999998;14;7.853;0.76552;0.56;0.31412
40994517;40;LKO_CAN;20.675;15;7.933;0.8614583333333333;0.625;0.3305416666666667
40994518;40;LKO_CAN;20.992;15;9.096;0.8073846153846154;0.5769230769230769;0.34984615384615386
40994519;40;LKO_CAN;21.444;17;8.459;0.8247692307692307;0.6538461538461539;0.32534615384615384
40994520;40;LKO_CAN;20.928;16;8.722999999999999;0.804923076923077;0.6153846153846154;0.33549999999999996
40994521;40;LKO_CAN;19.153;15;7.721;0.7661199999999999;0.6;0.30884
40994522;40;LKO_CAN;21.677;17;8.076;0.8337307692307692;0.6538461538461539;0.3106153846153846
40994523;40;LKO_CAN;2.232;2;1.617;0.2232;0.2;0.1617
40994524;40;LKO_CAN;2.18;2;1.572;0.21800000000000003;0.2;0.1572
40994525;40;LKO_CAN;12.512;4;9.301;0.6585263157894737;0.21052631578947367;0.4895263157894737
40994526;40;LKO_CAN;18.735;13;7.814;0.8515909090909091;0.5909090909090909;0.3551818181818182
40995288;40;LKO_CAN;7.086;2;6.42;0.442875;0.125;0.40125
40995289;40;LKO_CAN;4.033;2;3.399;0.33608333333333335;0.16666666666666666;0.28325
40995497;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40995498;40;LKO_CAN;0.325;0;0.325;0.325;0.0;0.325
40995499;40;LKO_CAN;0.299;0;0.299;0.299;0.0;0.299
40995500;40;LKO_CAN;0.269;0;0.269;0.269;0.0;0.269
40995501;40;LKO_CAN;0.269;0;0.269;0.269;0.0;0.269
40995502;40;LKO_CAN;0.21;0;0.21;0.21;0.0;0.21
40995503;40;LKO_CAN;0.21;0;0.21;0.21;0.0;0.21
40995504;40;LKO_CAN;0.215;0;0.215;0.215;0.0;0.215
40995505;40;LKO_CAN;0.285;0;0.285;0.285;0.0;0.285
40995506;40;LKO_CAN;0.32;0;0.32;0.32;0.0;0.32
40995507;40;LKO_CAN;0.861;0;0.861;0.21525;0.0;0.21525
40995508;40;LKO_CAN;3.2430000000000003;1;2.91;0.3603333333333334;0.1111111111111111;0.32333333333333336
