PT_ID;XVAL;YVAL;X_COORD;Y_COORD
40996513;635845;5035605;4.540693498060451;-37.1791524344633
40996517;635885;5035605;4.540978778207751;-37.1791348933932
40996518;635895;5035605;4.541050098233702;-37.17913050795169
40997289;633605;5035615;4.524713313788656;-37.18006188932902
40997509;635805;5035615;4.540403817478609;-37.17909890583235
40997512;635835;5035615;4.540617777439596;-37.17908575096094
40997513;635845;5035615;4.540689097417896;-37.17908136586461
40997515;635865;5035615;4.540831737361446;-37.179072595463175
40997516;635875;5035615;4.540903057326697;-37.17906821015807
40997517;635885;5035615;4.5409743772876;-37.17906382478338
40997518;635895;5035615;4.541045697244153;-37.179059439339085
40998287;633585;5035625;4.524566286921427;-37.179999560374974
40998513;635845;5035625;4.540684696772519;-37.17901029733552
40998514;635855;5035625;4.540756016677069;-37.179005912166815
40998515;635865;5035625;4.540827336577269;-37.17900152692852
40998517;635885;5035625;4.540969976364626;-37.17899275624315
40998518;635895;5035625;4.541041296251779;-37.17898837079606
40998522;635935;5035625;4.541326575756901;-37.17897082831181
40999290;633615;5035635;4.524775864392956;-37.17991538400283
40999516;635875;5035635;4.540894255616725;-37.178926073152766
40999517;635885;5035635;4.540965575438829;-37.178921687772494
40999518;635895;5035635;4.541036895256584;-37.178917302322624
